<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,08/02/24,030000,8085.02
CA,D,09/02/24,030000,8065.04
CA,D,12/02/24,030000,8128.68
CA,D,13/02/24,030000,8155.5
CA,D,14/02/24,030000,8097
CA,D,15/02/24,030000,8223
CA,D,16/02/24,030000,8409.16
CA,D,19/02/24,030000,8353.5
CA,D,20/02/24,030000,8423.99
CA,D,21/02/24,030000,8456.5
CA,D,22/02/24,030000,8499.5
CA,D,23/02/24,030000,8475
CA,D,26/02/24,030000,8361.5
CA,D,27/02/24,030000,8375.25
CA,D,28/02/24,030000,8354.75
CA,D,29/02/24,030000,8401.5
CA,D,01/03/24,030000,8416
CA,D,04/03/24,030000,8455.91
CA,D,05/03/24,030000,8400.75
CA,D,06/03/24,030000,8484.25
CA,D,07/03/24,030000,8546.49
CA,D,08/03/24,030000,8487.27
CA,D,11/03/24,030000,8559.65
CA,D,12/03/24,030000,8560.7
